[[42, 31, -18, -100], [123, 22, 84, 81], [115, 123, 16, -43], [97, -127, -54, 61]]
[[30, -106, -35, -107], [118, 97, 0, -52], [-17, -102, -127, -93], [35, -37, 116, 63]]
[[12, -6, 35, 76], [-116, -13, 111, -89], [-33, 66, 64, 108], [41, -116, -86, 8]]
[[-97, 107, -95, -59], [12, 24, -46, 20], [22, -51, -111, -68], [-39, -92, 96, -72]]
[[46, 59, 59, 62], [-97, 63, 105, 69], [85, -81, -55, 44], [-107, 14, -116, 81]]
[[-71, -85, -91, -2], [-118, -61, -123, -2], [-39, 57, -32, -59], [37, -98, -112, 9]]
[[-123, 62, 37, -75], [42, -26, -42, 8], [91, -109, -22, 110], [-11, 117, 41, -126]]
[[-30, 87, 82, 23], [-110, 30, 114, 106], [79, -73, 37, -87], [15, 38, -85, 114]]
[[69, -97, -75, 76], [-113, 56, 46, -124], [105, -112, 88, 61], [95, -14, 92, 31]]
[[-22, 123, 33, 17], [81, -17, -64, -50], [67, -25, -44, 32], [-82, -73, -29, 30]]
[[-51, -96, -24, -14], [-113, -55, -128, -112], [33, -10, 9, 106], [91, -92, -51, -70]]
[[2, 90, 42, 83], [-13, 3, 23, 51], [-8, -6, 120, 78], [-114, -63, -7, 112]]
[[-55, 124, 22, 78], [89, 69, -60, 96], [-67, -109, -25, -60], [-80, 47, 111, 122]]
[[-90, 101, 67, -32], [-75, -117, -64, -4], [86, 127, -101, 49], [-116, -100, -44, -1]]
[[11, 85, 110, -118], [-50, -100, 13, -101], [-95, 2, -48, 87], [117, 43, -5, 109]]
[[-127, 126, -15, 2], [-71, -66, -59, 53], [-34, -124, -72, -26], [62, 10, -6, 120]]
[[31, -4, -103, 99], [86, -103, 6, -104], [68, 42, -17, 23], [37, 63, -30, -77]]
[[23, -82, 46, -116], [24, 9, -72, 52], [3, -19, 72, 30], [-75, 108, 84, -50]]
[[-56, 93, -115, 108], [-30, 57, -95, -111], [-63, 92, -62, -84], [80, 13, -62, 122]]
[[-48, 64, 34, -76], [-113, -34, -4, 30], [108, -84, -90, -72], [5, 60, 95, 114]]
[[-68, 109, 1, -65], [-9, -103, -124, -128], [-75, 101, 14, -30], [63, 105, 61, 51]]
[[-8, -53, -48, -121], [-30, 23, 73, 86], [64, 99, 99, -55], [-11, 104, 49, 32]]
[[28, 125, 52, 117], [-67, 104, -99, 27], [38, -39, 60, 65], [110, 16, -81, 22]]
[[-59, -10, -30, -34], [74, -81, -125, -3], [16, -103, 9, -19], [-24, -108, -64, -5]]
[[125, 111, -93, -79], [1, -113, -75, 116], [12, -55, 86, 71], [-64, -121, -26, -31]]
[[-98, 39, -28, 5], [-123, -108, -42, -88], [-90, -78, 115, -22], [108, 108, -66, 7]]
[[49, 112, 11, -41], [-80, -23, 5, 115], [34, 93, 32, 87], [-17, 5, 51, 114]]
[[74, 103, 109, 98], [39, 90, 66, -67], [-22, -108, -89, -45], [-4, 21, -8, 123]]
