[[-34, 60, -4, 7], [-30, 82, 38, 55], [-31, -100, -122, -118], [42, 79, 89, 117]]
[[-52, -50, -26, -128], [79, 110, -4, -78], [34, -34, 98, -47], [-116, -12, 51, -51]]
[[37, -31, 68, 30], [98, -14, 7, -128], [-30, -128, 87, 28], [80, 74, 104, -62]]
[[19, -75, 107, 99], [110, -102, 110, 73], [121, -89, -33, -116], [-100, -69, 39, -50]]
[[-67, 96, 87, 57], [79, -102, -114, 47], [-45, 104, 98, 60], [12, -98, 77, -61]]
[[-9, 80, 24, -70], [-68, -23, 55, 124], [80, -54, -57, 39], [-91, 93, -7, 57]]
[[80, 53, -96, 82], [37, -16, -4, 106], [-77, 112, -100, -126], [-85, -45, -56, -82]]
[[59, 80, -25, 97], [-33, -58, 37, 0], [32, -120, -53, 100], [-71, -81, -17, 70]]
[[50, -28, -73, -117], [-50, -62, 29, -98], [-122, 100, -108, -128], [90, -80, -69, -49]]
[[-52, -75, -97, 8], [-83, -13, 71, 40], [-2, -106, 63, 84], [-108, 118, -54, 75]]
[[11, -126, 122, 94], [74, 48, -17, 38], [-92, -60, -3, 47], [30, 77, -122, -48]]
[[36, 75, 65, 1], [60, 101, -110, 7], [-70, 76, -82, 125], [93, -66, -53, -11]]
[[-45, 75, -55, 119], [86, -95, 72, 67], [96, 4, -58, -15], [-18, 86, -32, 75]]
[[15, -59, 89, 46], [-56, -44, 0, 35], [89, -35, 36, -65], [-86, -128, -120, -13]]
[[58, 54, 57, -98], [-5, -17, -83, -11], [98, -45, -26, -38], [-37, -60, -58, -50]]
[[33, 97, -33, -80], [-82, 31, 75, 86], [-108, -119, -67, 31], [7, 49, -78, -41]]
[[12, 74, -61, -115], [106, -99, -58, 0], [78, 68, 10, -14], [21, 34, -42, -38]]
[[50, 51, -73, 98], [-60, 74, -93, 119], [-35, 23, -61, -56], [61, -18, 88, 53]]
[[11, 120, -81, -113], [2, -94, -111, -22], [46, 103, 50, 97], [-109, 112, 27, -12]]
[[-37, 23, 13, -16], [0, -35, 56, -22], [-101, -25, 56, -92], [-78, -127, 66, 103]]
[[103, 43, -59, 57], [112, 1, -59, -49], [-115, -7, 17, 62], [51, -52, -37, 75]]
[[25, -97, -30, -36], [-51, -98, 58, -41], [41, -118, 67, -99], [-105, 39, -89, 125]]
[[109, 66, -4, 95], [23, 81, 103, -41], [45, 25, 24, -27], [111, 31, 43, -1]]
[[-86, -62, -23, -87], [58, 1, -93, -102], [117, -94, -115, -20], [114, -18, 36, -10]]
[[-14, -40, 7, -96], [59, -23, -49, 67], [-80, 53, 81, 32], [76, -42, 106, -110]]
[[-13, -18, 104, -101], [44, -124, 93, -41], [83, -114, -87, 0], [119, 67, -102, 85]]
[[-28, -40, -76, 10], [-94, 25, -25, 69], [52, -84, -111, 80], [-113, 118, -113, -13]]
[[74, 98, -49, 125], [115, 42, -20, 53], [-66, 10, 64, 81], [4, -50, 91, 73]]
[[-119, 8, -117, -83], [80, 42, 74, 55], [105, 32, 1, -64], [-90, 71, -106, -107]]
[[106, 106, 118, -119], [-6, 61, -64, -29], [56, -59, -13, -26], [-39, 51, 33, 28]]
[[40, 125, -31, 23], [-8, -119, 103, 43], [22, 62, -27, 48], [28, -117, -27, -15]]
[[-86, -102, -9, 41], [96, -74, 115, 101], [-109, -108, 47, 19], [51, 74, 97, 38]]
[[-82, -86, 25, 89], [108, -24, -110, -43], [-96, 89, -47, 66], [114, -78, 102, 61]]
[[120, -55, -128, 79], [39, 90, 39, -39], [13, -121, 9, 34], [78, -102, 72, -25]]
[[-67, -20, -125, -73], [-25, 0, -113, 26], [-100, -15, 26, 24], [-124, 126, 110, 15]]
[[-125, -78, -3, -8], [-120, -83, -84, -56], [-45, -58, -70, -27], [-11, -81, -79, 35]]
[[-54, -60, 121, -63], [-44, -65, -127, -22], [36, 97, -101, -89], [66, 108, -87, 92]]
[[118, -128, 89, 123], [-61, 20, 38, 94], [100, 101, 127, 46], [48, -93, -75, -50]]
[[51, -106, 4, 78], [-68, 85, -18, -52], [-95, -5, 48, -6], [-112, -43, 15, -28]]
[[-126, -109, 46, 58], [-125, 74, -126, 30], [0, -89, 103, 47], [54, -127, 93, 123]]
[[120, 25, -7, -116], [-33, -84, -56, 25], [80, -45, -6, 56], [-31, 55, -101, -72]]
[[35, -82, 97, 86], [-23, -83, -120, -38], [70, -90, 14, 71], [-23, -121, 106, 69]]
[[93, 39, 72, -65], [115, -19, 39, -58], [-96, 118, -83, -91], [31, -100, 42, -28]]
[[-27, 39, 65, -126], [40, -30, -78, -16], [-20, -11, 41, -120], [-26, -74, -80, 27]]
[[-121, 101, 111, 55], [46, 23, -67, -21], [37, -28, -123, 74], [96, 123, 29, 116]]
[[111, 20, -120, -115], [46, -120, 107, -18], [-73, -58, -69, 79], [53, 104, -126, 85]]
[[-40, 105, -76, -119], [100, -102, -34, 103], [87, -111, -98, 126], [-91, 119, -33, 14]]
[[67, 80, -93, -59], [-90, -103, -10, 32], [124, -102, 83, 99], [-38, -118, -92, 32]]
[[-106, 126, -30, 21], [122, 92, -57, -70], [86, -64, 29, 113], [124, 90, -63, 13]]
[[54, 69, -37, 34], [108, -30, 108, 118], [-47, 43, -111, 114], [-100, 43, 48, 11]]
[[31, -86, -79, -16], [-111, 54, 75, 90], [4, -126, 81, -96], [-104, -117, -3, 65]]
[[126, -14, 116, -27], [57, -75, 64, 114], [-112, 76, -98, 79], [-128, 11, -33, -39]]
[[120, 56, -33, 127], [103, 120, 89, 7], [-26, 110, -5, -55], [-42, 72, 22, -89]]
[[-24, 104, -27, 14], [65, 8, -33, -88], [21, 103, -120, -6], [14, -9, 60, 85]]
[[-55, 29, -113, -99], [103, 83, 42, -109], [-57, -113, -117, -117], [-15, 42, -5, -128]]
[[-63, -72, 66, -48], [24, -128, 57, -69], [-74, -81, -1, -88], [-65, 11, 53, 59]]
